순번,입력_M1,입력_M2,추정_d1,추정_d2,추정_t1,추정_t2,오차_d1,오차_d2,오차_t1,오차_t2
0,1.35049,1.53616,1.4381000412513274,1.6607636898318536,35.128436471852766,44.91048235616078,0.3118999587486726,0.2892363101681463,7.371977279616679,7.487654174077079
1,1.3505,1.53413,1.4383973774596053,1.658596087123719,35.21817365705707,44.88696397379817,0.3116026225403947,0.29140391287628087,7.461714464820986,7.464135791714469
2,1.34843,1.53831,1.435590725962981,1.663310040414314,35.007751973622966,45.013743265176984,0.314409274037019,0.286689959585686,7.25129278138688,7.590915083093286
3,1.35111,1.53632,1.4387411744338974,1.6608586165186365,35.129087323592366,44.888600631476834,0.3112588255661026,0.2891413834813634,7.372628131356279,7.4657724493931354
4,1.37414,1.53841,1.4631149639574936,1.660266823433858,35.3279655857608,44.03008216992242,0.28688503604250637,0.28973317656614195,7.571506393524714,6.607253987838725
5,1.38053,1.53218,1.4708282875229357,1.6528226750140085,35.680303682088656,43.7103396670994,0.2791717124770643,0.2971773249859915,7.92384448985257,6.287511485015699
6,1.34933,1.55307,1.4344615339631308,1.6789591892941282,34.36469594128596,45.1499307743622,0.3155384660368692,0.2710408107058717,6.608236749049873,7.727102592278499
7,1.33269,1.53643,1.4190127296060375,1.6632240002000798,34.89697160560702,45.59267065428589,0.3309872703939625,0.2867759997999202,7.140512413370935,8.169842472202191
8,1.34143,1.52396,1.4301316075582264,1.6488599509669948,35.55674377337005,45.120309747652975,0.31986839244177356,0.3011400490330052,7.800284581133965,7.6974815655692765
9,1.33336,1.52616,1.4211922504355152,1.6521935091849909,35.362474019613174,45.45357209299328,0.3288077495644848,0.2978064908150091,7.606014827377088,8.030743910909578
10,1.33132,1.53033,1.4184175613346293,1.6568874707539758,35.15237765658696,45.57732362518728,0.33158243866537074,0.29311252924602416,7.395918464350871,8.154495443103585
11,1.33133,1.52826,1.418723234668308,1.6546798563965681,35.244721374075,45.55418587564295,0.3312767653316919,0.29532014360343184,7.488262181838913,8.131357693559252
12,1.33133,1.52203,1.4196098162800812,1.6480408096303916,35.521903673964474,45.4861516476663,0.3303901837199188,0.3019591903696084,7.765444481728387,8.063323465582599
13,1.33557,1.54082,1.421468013936989,1.6675556570086736,34.73652002595122,45.5322559786334,0.32853198606301093,0.28244434299132637,6.980060833715136,8.109427796549703
14,1.32726,1.58879,1.4056399677995992,1.7197811949648507,32.46589910303676,46.40187257122429,0.3443600322004008,0.23021880503514924,4.7094399108006755,8.97904438914059
15,1.32729,1.59089,1.4053659388611566,1.7220225925696884,32.37055880098166,46.42590491517559,0.34463406113884343,0.22797740743031158,4.614099608745576,9.003076733091895
16,1.29816,1.57652,1.376214170844728,1.710140697479451,32.643601384421444,47.341840778251225,0.37378582915527203,0.23985930252054888,4.887142192185358,9.919012596167526
17,1.29405,1.54974,1.3757568860516358,1.6820807931269899,33.825076379289754,47.19896144732987,0.3742431139483642,0.2679192068730101,6.068617187053668,9.776133265246173
18,1.29615,1.54144,1.3792174370996624,1.6729883481606251,34.23026681496532,47.030947214214024,0.3707825629003376,0.2770116518393748,6.4738076227292325,9.608119032130325
19,1.29204,1.54769,1.3739085412866046,1.6801385480051894,33.894926343749624,47.2523441924945,0.37609145871339544,0.2698614519948106,6.138467151513538,9.8295160104108
20,1.29413,1.54355,1.3767497909212894,1.67547842706721,34.10971987509406,47.12950519520086,0.37325020907871065,0.2745215729327899,6.353260682857972,9.706677013117165
평균,1.331935238095238,1.5435804761904763,1.4171734310112303,1.6709356655783902,34.56515121266509,45.69942803685473,0.33282656898876983,0.2790643344216096,6.808692020429014,8.276599854771028
